Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1618228276458,12/04/2021 11:51:16,1618228276352,1,12/04/2021 12:51:16,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,BEGIN QUESTIONNAIRE,
2,1618228302831,12/04/2021 11:51:42,1618228302740,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,mouse,trackpad
3,1618228302944,12/04/2021 11:51:42,1618228302742,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,mouse-quantised,2
4,1618228302944,12/04/2021 11:51:42,1618228302742,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,problems,no
5,1618228302944,12/04/2021 11:51:42,1618228302742,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,problems-quantised,1
6,1618228302944,12/04/2021 11:51:42,1618228302742,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,problems-text,
7,1618228302944,12/04/2021 11:51:42,1618228302742,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,drugs/alcohol-2,Alcohol in the last 48 hours
8,1618228302944,12/04/2021 11:51:42,1618228302742,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,tired,Fine
9,1618228302944,12/04/2021 11:51:42,1618228302743,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,tired-quantised,3
10,1618228302944,12/04/2021 11:51:42,1618228302743,1,12/04/2021 12:51:42,49173,2,questionnaire-iqdc,,11812004,22101,3584328,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 89.0.4389.82,1440x900,1440x821,,Study questions,1,No,END QUESTIONNAIRE,26392
1,1618237954968,12/04/2021 14:32:34,1618237954865,3,12/04/2021 17:32:34,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,BEGIN QUESTIONNAIRE,
2,1618237984226,12/04/2021 14:33:04,1618237984154,3,12/04/2021 17:33:04,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,mouse,mouse
3,1618237984319,12/04/2021 14:33:04,1618237984156,3,12/04/2021 17:33:04,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,mouse-quantised,1
4,1618237984319,12/04/2021 14:33:04,1618237984156,3,12/04/2021 17:33:04,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,problems,no
5,1618237984319,12/04/2021 14:33:04,1618237984156,3,12/04/2021 17:33:04,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,problems-quantised,1
6,1618237984319,12/04/2021 14:33:04,1618237984156,3,12/04/2021 17:33:04,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,problems-text,
7,1618237984319,12/04/2021 14:33:04,1618237984156,3,12/04/2021 17:33:04,49173,2,questionnaire-iqdc,,11818010,22881,3585768,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 89.0.4389.114,1680x1050,1680x939,,Study questions,1,No,drugs/alcohol-1,No
