"","Participant.Private.ID","Experiment.Version","number of languages","number of languages-quantised","number of languages-text","Fluency L1","Fluency L1-quantised","Fluency L2","L3 fluency","age bilingual","age bilingual-quantised","%english childhood","Language spoken in childhood other","Percent English daily life","other language daily life","years away","years away-quantised","current language use","current language use-quantised","home dual-language1","home dual-language1-quantised","home dual-language2","home dual-language2-quantised","home dual-language3","home dual-language3-quantised","home dual-language4","home dual-language4-quantised","work dual-language","work dual-language-quantised","work dual-language2","work dual-language2-quantised","work dual-language3","work dual-language3-quantised","response-5","response-5-quantised","socialisation dual-language","socialisation dual-language-quantised","socialisation dual-language2","socialisation dual-language2-quantised","socialisation dual-language3","socialisation dual-language3-quantised","socialisation dual-language4","socialisation dual-language4-quantised","END QUESTIONNAIRE","Fluency L2-quantised","L3 fluency-quantised","bilingual"
"36",3733088,3,"1","1","","5","5","","","N/A","1","100","0","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","76346",NA,NA,0
"37",3733380,3,"3+","3","","5","5","5","5","14","16","4","0","90","10","1-2","2","use two (+) languages but in different settings (i.e. one on the phone with my grandparents and one with work)","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","446961","5","5",1
"38",3739916,3,"1","1","","5","5","","","N/A","1","100","0","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","94226",NA,NA,0
"39",3745726,3,"1","1","","5","5","1","","N/A","1","100","0","100","5","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","140587","1",NA,0
"40",3780178,4,"1","1","","5","5","","","N/A","1","100","5","100","5","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","111383",NA,NA,0
"41",3786770,4,"1","1","","5","5","1","1","N/A","1","100","2","98","2","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","175668","1","1",0
"42",3782232,4,"3+","3","","5","5","3","3","7","9","10","90","78","22","3-4","3","use two (+) languages but in different settings (i.e. one on the phone with my grandparents and one with work)","2","2","2","5","5","3","3","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","135611","3","3",1
"43",3771713,4,"1","1","","5","5","","","N/A","1","100","0","100","0","0","1","primarily one language","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","80935",NA,NA,0
"44",3756966,4,"2","2","","5","5","5","","4","6","2","99","83","93","7+","5","use both languages every day within the same setting","3","3","3","5","5","2","2","1","1","1","1","1","1","1","1","1","1","3","3","1","1","2","2","1","1","92435","5",NA,1
"45",3756128,4,"3+","3","","5","5","4","3","10","12","50","50","90","10","0","1","primarily one language","1","5","5","4","4","4","4","2","2","1","1","1","1","1","1","1","1","4","4","2","2","2","2","4","4","256784","4","3",1
