Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1619786394110,30/04/2021 12:39:54,1619786394439,1,30/04/2021 13:39:54,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1280x578,,Participant questions,2,No,BEGIN QUESTIONNAIRE,
2,1619786537763,30/04/2021 12:42:17,1619786538057,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,DOB-day,11
3,1619786537857,30/04/2021 12:42:17,1619786538063,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,DOB-month,1
4,1619786537857,30/04/2021 12:42:17,1619786538063,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,DOB-year,19
5,1619786537857,30/04/2021 12:42:17,1619786538064,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,videogames,Hardly ever
6,1619786537857,30/04/2021 12:42:17,1619786538064,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,videogames-quantised,5
7,1619786537857,30/04/2021 12:42:17,1619786538065,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,musical training,5
8,1619786537857,30/04/2021 12:42:17,1619786538065,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,musical training-quantised,6
9,1619786537857,30/04/2021 12:42:17,1619786538065,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,musical instrument,Once a month
10,1619786537857,30/04/2021 12:42:17,1619786538066,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,musical instrument-quantised,4
11,1619786537857,30/04/2021 12:42:17,1619786538066,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,multitask,2 times a week
12,1619786537857,30/04/2021 12:42:17,1619786538066,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,multitask-quantised,2
13,1619786537857,30/04/2021 12:42:17,1619786538067,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,sport,2 times a week
14,1619786537857,30/04/2021 12:42:17,1619786538067,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,sport-quantised,2
15,1619786537857,30/04/2021 12:42:17,1619786538068,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,team sports,I am average
16,1619786537857,30/04/2021 12:42:17,1619786538068,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,team sports-quantised,3
17,1619786537857,30/04/2021 12:42:17,1619786538068,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,mindfulness,Quite often
18,1619786537857,30/04/2021 12:42:17,1619786538069,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,mindfulness-quantised,4
19,1619786537857,30/04/2021 12:42:17,1619786538069,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,travelled,3-4
20,1619786537857,30/04/2021 12:42:17,1619786538069,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,travelled-quantised,4
21,1619786537857,30/04/2021 12:42:17,1619786538069,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,age,19
22,1619786537857,30/04/2021 12:42:17,1619786538070,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,age-quantised,3
23,1619786537935,30/04/2021 12:42:17,1619786538070,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,Gender,female
24,1619786537935,30/04/2021 12:42:17,1619786538070,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,Gender-quantised,2
25,1619786537935,30/04/2021 12:42:17,1619786538071,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,response-6,
26,1619786537935,30/04/2021 12:42:17,1619786538071,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,response-6-mixed,right
27,1619786537935,30/04/2021 12:42:17,1619786538071,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,birth country,Greece
28,1619786537935,30/04/2021 12:42:17,1619786538071,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,same country,no
29,1619786537935,30/04/2021 12:42:17,1619786538072,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,same country-quantised,2
30,1619786537935,30/04/2021 12:42:17,1619786538072,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,Self education,Graduated from college/6th form
31,1619786537935,30/04/2021 12:42:17,1619786538073,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,Self education-quantised,4
32,1619786537935,30/04/2021 12:42:17,1619786538073,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,Self education-text,
33,1619786537935,30/04/2021 12:42:17,1619786538073,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,mother education,Graduate or professional degree that required additional education beyond a bachelor’s degree (Mphil Msc etc)
34,1619786537935,30/04/2021 12:42:17,1619786538074,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,mother education-quantised,6
35,1619786537935,30/04/2021 12:42:17,1619786538074,1,30/04/2021 13:42:18,49173,3,questionnaire-35za,,12314572,22085,3718592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1280x720,1263x578,,Participant questions,2,No,SES,Above Average
